Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Time of Day,Country,Device Type,Advertiser Currency,Impressions,Active View: Measurable Impressions,Active View: Viewable Impressions,Clicks,Revenue (Adv Currency)
Next_UK_Zenith,378754,Active,,23,GB,Tablet,GBP,166965,154286,81230,143,411.081858
Next_UK_Zenith,378754,Active,,23,TW,Desktop,GBP,2928,2824,1195,3,11.544423
Next_UK_Zenith,378754,Active,,3,DE,Desktop,GBP,11400,11045,3605,3,15.734614
Next_UK_Zenith,378754,Active,,3,HK,Desktop,GBP,82065,79694,34226,61,170.478677
Next_UK_Zenith,378754,Active,,3,TW,Desktop,GBP,7097,6958,2910,8,31.163374
Next_UK_Zenith,378754,Active,,4,GB,Desktop,GBP,56067,55241,34056,90,182.683809
Next_UK_Zenith,378754,Active,,4,GB,Smart Phone,GBP,85261,79579,33267,141,127.341529
Next_UK_Zenith,378754,Active,,4,GB,Tablet,GBP,34247,30930,15295,18,89.631840
Next_UK_Zenith,378754,Active,,4,HK,Desktop,GBP,70747,68752,29629,51,144.100850
Next_UK_Zenith,378754,Active,,5,IE,Desktop,GBP,6237,5981,2627,6,21.347014
Next_UK_Zenith,378754,Active,,5,TW,Desktop,GBP,6761,6616,2776,8,26.843691
Next_UK_Zenith,378754,Active,,6,GB,Tablet,GBP,123931,111923,52660,98,345.225805
Next_UK_Zenith,378754,Active,,6,HK,Desktop,GBP,67649,65780,29086,50,135.737497
Next_UK_Zenith,378754,Active,,7,CZ,Desktop,GBP,8175,8088,3407,17,25.229389
Next_UK_Zenith,378754,Active,,7,DE,Desktop,GBP,108181,104150,32974,31,173.792038
Next_UK_Zenith,378754,Active,,7,RO,Desktop,GBP,58484,56734,23314,82,58.046231
Next_UK_Zenith,378754,Active,,7,RU,Desktop,GBP,263117,260054,117300,258,412.703006
Next_UK_Zenith,378754,Active,,7,SK,Desktop,GBP,59974,58866,24006,69,78.419089
Next_UK_Zenith,378754,Active,,7,UA,Desktop,GBP,615947,603438,259370,555,367.696269
Next_UK_Zenith,378754,Active,,8,CZ,Desktop,GBP,10498,10372,4637,23,31.539798
Next_UK_Zenith,378754,Active,,8,DE,Desktop,GBP,112835,108769,37823,36,197.028070
Next_UK_Zenith,378754,Active,,8,RO,Desktop,GBP,50434,48935,21591,62,48.030449
Next_UK_Zenith,378754,Active,,8,RU,Desktop,GBP,272388,269187,123777,280,411.601115
Next_UK_Zenith,378754,Active,,9,GB,Desktop,GBP,566312,556094,342469,386,2179.799876
Next_UK_Zenith,378754,Active,,9,GB,Tablet,GBP,192485,176982,89588,156,597.141066
Next_UK_Zenith,378754,Active,,9,HK,Desktop,GBP,62403,60454,27066,41,125.125902
Next_UK_Zenith,378754,Active,,0,CZ,Desktop,GBP,577,563,294,2,1.611179
Next_UK_Zenith,378754,Active,,0,GB,Desktop,GBP,179298,175721,109803,210,663.500615
Next_UK_Zenith,378754,Active,,0,SK,Desktop,GBP,3579,3442,1460,5,4.000553
Next_UK_Zenith,378754,Active,,0,UA,Desktop,GBP,40828,39676,17997,38,24.440970
Next_UK_Zenith,378754,Active,,1,CZ,Desktop,GBP,298,295,137,1,0.920256
Next_UK_Zenith,378754,Active,,1,GB,Smart Phone,GBP,112469,106514,46845,267,213.569408
Next_UK_Zenith,378754,Active,,1,RU,Desktop,GBP,55591,54918,23705,40,70.965812
Next_UK_Zenith,378754,Active,,1,SK,Desktop,GBP,1997,1935,751,5,2.287818
Next_UK_Zenith,378754,Active,,1,UA,Desktop,GBP,23722,23087,10385,28,13.485918
Next_UK_Zenith,378754,Active,,10,GB,Desktop,GBP,537507,527511,323650,478,2094.682307
Next_UK_Zenith,378754,Active,,10,HK,Desktop,GBP,39809,38450,17486,25,78.421930
Next_UK_Zenith,378754,Active,,10,SK,Desktop,GBP,81435,79789,32769,80,97.717776
Next_UK_Zenith,378754,Active,,11,GB,Tablet,GBP,166560,151874,73455,179,496.538837
Next_UK_Zenith,378754,Active,,13,CZ,Desktop,GBP,10627,10520,4828,20,29.536312
Next_UK_Zenith,378754,Active,,13,RO,Desktop,GBP,26373,25726,12404,29,29.046137
Next_UK_Zenith,378754,Active,,13,RU,Desktop,GBP,185759,183342,84272,199,252.839656
Next_UK_Zenith,378754,Active,,14,GB,Desktop,GBP,482514,474148,283371,455,1865.032247
Next_UK_Zenith,378754,Active,,14,GB,Smart Phone,GBP,326259,307647,113249,522,632.704879
Next_UK_Zenith,378754,Active,,14,HK,Desktop,GBP,50004,48086,22859,32,102.277984
Next_UK_Zenith,378754,Active,,14,TW,Desktop,GBP,8982,8798,3944,9,33.723342
Next_UK_Zenith,378754,Active,,15,DE,Desktop,GBP,28889,27894,9977,10,45.147497
Next_UK_Zenith,378754,Active,,15,GB,Tablet,GBP,196001,179727,86981,184,577.365622
Next_UK_Zenith,378754,Active,,15,RO,Desktop,GBP,19420,18919,9039,21,23.378994
Next_UK_Zenith,378754,Active,,15,RU,Desktop,GBP,185584,182997,84649,200,234.853964
Next_UK_Zenith,378754,Active,,16,AU,Desktop,GBP,5895,5788,2737,11,12.510624
Next_UK_Zenith,378754,Active,,16,IE,Desktop,GBP,71813,68540,34988,98,288.099825
Next_UK_Zenith,378754,Active,,16,SK,Desktop,GBP,75733,73960,31248,80,82.193455
Next_UK_Zenith,378754,Active,,16,UA,Desktop,GBP,569255,558072,253269,589,295.223027
Next_UK_Zenith,378754,Active,,17,CZ,Desktop,GBP,12137,11983,5422,30,34.204394
Next_UK_Zenith,378754,Active,,17,IL,Desktop,GBP,204289,198853,78366,311,684.508152
Next_UK_Zenith,378754,Active,,17,RU,Desktop,GBP,190206,187625,88030,176,240.179386
Next_UK_Zenith,378754,Active,,17,UA,Desktop,GBP,589278,577470,262952,625,306.745335
Next_UK_Zenith,378754,Active,,18,DE,Desktop,GBP,47027,45303,14034,14,58.110864
Next_UK_Zenith,378754,Active,,18,GB,Desktop,GBP,490588,481818,289716,529,1974.219354
Next_UK_Zenith,378754,Active,,18,HK,Desktop,GBP,14099,13597,6202,10,27.251359
Next_UK_Zenith,378754,Active,,18,RO,Desktop,GBP,22813,22218,10744,17,28.457242
Next_UK_Zenith,378754,Active,,18,TW,Desktop,GBP,2195,2144,914,3,6.792866
Next_UK_Zenith,378754,Active,,19,DE,Desktop,GBP,37772,36471,11993,13,49.378308
Next_UK_Zenith,378754,Active,,19,HK,Desktop,GBP,9636,9310,4085,7,18.365260
Next_UK_Zenith,378754,Active,,19,RO,Desktop,GBP,22430,21843,10531,31,27.953557
Next_UK_Zenith,378754,Active,,19,SK,Desktop,GBP,98882,96551,41075,124,109.419859
Next_UK_Zenith,378754,Active,,19,UA,Desktop,GBP,605657,592344,271658,716,331.981512
Next_UK_Zenith,378754,Active,,2,CZ,Desktop,GBP,158,155,58,1,0.516561
Next_UK_Zenith,378754,Active,,2,IL,Desktop,GBP,31647,31240,6882,26,113.265489
Next_UK_Zenith,378754,Active,,2,RU,Desktop,GBP,69959,69165,28805,47,86.542140
Next_UK_Zenith,378754,Active,,2,UA,Desktop,GBP,19738,19274,8625,35,10.706587
Next_UK_Zenith,378754,Active,,20,GB,Smart Phone,GBP,522817,499854,224166,1122,1318.659872
Next_UK_Zenith,378754,Active,,20,RU,Desktop,GBP,153441,151257,71713,151,212.820020
Next_UK_Zenith,378754,Active,,21,CZ,Desktop,GBP,9373,9283,4282,13,25.882990
Next_UK_Zenith,378754,Active,,21,DE,Desktop,GBP,27229,26149,8821,10,38.891084
Next_UK_Zenith,378754,Active,,21,RO,Desktop,GBP,8840,8593,4256,21,10.929861
Next_UK_Zenith,378754,Active,,21,RU,Desktop,GBP,96088,94579,45193,82,134.658858
Next_UK_Zenith,378754,Active,,22,GB,Desktop,GBP,408350,401462,246557,488,1473.172354
Next_UK_Zenith,378754,Active,,22,HK,Desktop,GBP,6978,6737,2772,7,14.929052
Next_UK_Zenith,378754,Active,,22,RU,Desktop,GBP,77442,76304,36369,74,98.378807
Next_UK_Zenith,378754,Active,,22,SK,Desktop,GBP,26347,25604,11172,29,29.627007
Next_UK_Zenith,378754,Active,,23,IL,Desktop,GBP,51228,50060,17647,45,166.839961
Next_UK_Zenith,378754,Active,,23,UA,Desktop,GBP,80471,78267,35595,76,51.310540
Next_UK_Zenith,378754,Active,,3,IL,Desktop,GBP,22809,22332,7672,48,85.095966
Next_UK_Zenith,378754,Active,,4,AU,Desktop,GBP,94023,92535,45261,61,186.854650
Next_UK_Zenith,378754,Active,,4,IE,Desktop,GBP,5848,5610,2567,10,21.455457
Next_UK_Zenith,378754,Active,,4,TW,Desktop,GBP,6656,6513,2842,13,28.641703
Next_UK_Zenith,378754,Active,,5,CZ,Desktop,GBP,2052,2032,873,1,6.902900
Next_UK_Zenith,378754,Active,,5,IL,Desktop,GBP,95235,93307,32626,159,384.420873
Next_UK_Zenith,378754,Active,,5,SK,Desktop,GBP,11415,11205,4200,15,14.449603
Next_UK_Zenith,378754,Active,,5,UA,Desktop,GBP,130906,128394,52728,107,70.490913
Next_UK_Zenith,378754,Active,,6,RU,Desktop,GBP,226187,223744,98539,212,358.738663
Next_UK_Zenith,378754,Active,,7,AU,Desktop,GBP,59387,58382,27816,44,117.874239
Next_UK_Zenith,378754,Active,,7,GB,Desktop,GBP,241535,236907,144576,289,887.581198
Next_UK_Zenith,378754,Active,,7,GB,Smart Phone,GBP,366811,342126,136298,926,736.953173
Next_UK_Zenith,378754,Active,,7,GB,Tablet,GBP,172156,158901,78876,137,518.172168
Next_UK_Zenith,378754,Active,,7,IE,Desktop,GBP,20916,20006,9338,21,93.271341
Next_UK_Zenith,378754,Active,,8,GB,Smart Phone,GBP,406427,377787,157886,1363,937.796550
Next_UK_Zenith,378754,Active,,8,GB,Tablet,GBP,205320,188580,95599,164,620.242255
Next_UK_Zenith,378754,Active,,8,IE,Desktop,GBP,52818,50821,24614,35,247.305016
Next_UK_Zenith,378754,Active,,8,TW,Desktop,GBP,6585,6447,2702,9,24.758030
Next_UK_Zenith,378754,Active,,9,AU,Desktop,GBP,59806,58607,27357,34,120.828156
Next_UK_Zenith,378754,Active,,9,IE,Desktop,GBP,102223,98482,49414,71,439.074386
Next_UK_Zenith,378754,Active,,9,TW,Desktop,GBP,5831,5703,2569,5,22.746375
Next_UK_Zenith,378754,Active,,0,AU,Desktop,GBP,89327,87813,42926,62,214.090912
Next_UK_Zenith,378754,Active,,0,IE,Desktop,GBP,32609,31012,14898,25,124.804304
Next_UK_Zenith,378754,Active,,0,IL,Desktop,GBP,31807,31068,9588,38,108.441682
Next_UK_Zenith,378754,Active,,1,AU,Desktop,GBP,82142,80796,39012,50,180.893268
Next_UK_Zenith,378754,Active,,1,IE,Desktop,GBP,23017,22015,10303,29,85.153634
Next_UK_Zenith,378754,Active,,1,TW,Desktop,GBP,5997,5877,2475,9,27.284117
Next_UK_Zenith,378754,Active,,10,CZ,Desktop,GBP,11162,11004,4894,17,32.342816
Next_UK_Zenith,378754,Active,,10,DE,Desktop,GBP,72881,70156,25256,27,127.631180
Next_UK_Zenith,378754,Active,,10,RO,Desktop,GBP,29323,28522,13479,37,32.472680
Next_UK_Zenith,378754,Active,,10,RU,Desktop,GBP,241207,238085,110685,220,313.721684
Next_UK_Zenith,378754,Active,,11,RU,Desktop,GBP,217164,214394,98939,251,287.521496
Next_UK_Zenith,378754,Active,,11,SK,Desktop,GBP,76520,74880,31095,79,89.536056
Next_UK_Zenith,378754,Active,,11,UA,Desktop,GBP,650551,637591,278155,694,346.687478
Next_UK_Zenith,378754,Active,,12,AU,Desktop,GBP,50482,49516,23705,44,95.343022
Next_UK_Zenith,378754,Active,,12,GB,Desktop,GBP,489408,480823,288753,390,2028.727701
Next_UK_Zenith,378754,Active,,12,GB,Smart Phone,GBP,331485,310438,116607,626,677.386168
Next_UK_Zenith,378754,Active,,12,GB,Tablet,GBP,179750,163472,77855,152,517.353761
Next_UK_Zenith,378754,Active,,12,IE,Desktop,GBP,89130,85262,43156,57,353.653402
Next_UK_Zenith,378754,Active,,12,TW,Desktop,GBP,6031,5918,2637,5,21.231969
Next_UK_Zenith,378754,Active,,13,IL,Desktop,GBP,222030,216959,81847,338,808.915837
Next_UK_Zenith,378754,Active,,13,SK,Desktop,GBP,76668,75018,31839,90,85.098264
Next_UK_Zenith,378754,Active,,13,UA,Desktop,GBP,634830,621829,276694,750,342.432992
Next_UK_Zenith,378754,Active,,14,DE,Desktop,GBP,29506,28447,10252,5,45.837457
Next_UK_Zenith,378754,Active,,14,RO,Desktop,GBP,22025,21442,10308,31,25.289295
Next_UK_Zenith,378754,Active,,15,GB,Desktop,GBP,498547,489988,293951,484,1930.845348
Next_UK_Zenith,378754,Active,,15,UA,Desktop,GBP,622451,610039,275757,680,325.128281
Next_UK_Zenith,378754,Active,,16,GB,Smart Phone,GBP,371999,351567,133071,802,793.076419
Next_UK_Zenith,378754,Active,,16,GB,Tablet,GBP,239524,220216,106901,221,711.894744
Next_UK_Zenith,378754,Active,,16,TW,Desktop,GBP,5030,4928,2247,12,17.355807
Next_UK_Zenith,378754,Active,,17,SK,Desktop,GBP,79484,77494,32505,85,84.292151
Next_UK_Zenith,378754,Active,,17,TW,Desktop,GBP,3017,2947,1292,3,9.588368
Next_UK_Zenith,378754,Active,,18,CZ,Desktop,GBP,13506,13347,5900,24,38.064765
Next_UK_Zenith,378754,Active,,18,RU,Desktop,GBP,192365,189573,89878,206,254.301090
Next_UK_Zenith,378754,Active,,18,SK,Desktop,GBP,92853,90540,38203,108,101.726735
Next_UK_Zenith,378754,Active,,19,CZ,Desktop,GBP,14706,14549,6481,26,41.389114
Next_UK_Zenith,378754,Active,,19,RU,Desktop,GBP,181537,178928,85214,188,253.917404
Next_UK_Zenith,378754,Active,,2,AU,Desktop,GBP,85375,83975,40280,54,174.953454
Next_UK_Zenith,378754,Active,,2,TW,Desktop,GBP,6971,6821,2840,10,31.073279
Next_UK_Zenith,378754,Active,,20,GB,Desktop,GBP,581564,571212,346377,608,2248.852516
Next_UK_Zenith,378754,Active,,20,GB,Tablet,GBP,390128,364760,191032,373,1275.305320
Next_UK_Zenith,378754,Active,,20,IE,Desktop,GBP,84090,79600,39095,98,338.268596
Next_UK_Zenith,378754,Active,,21,IL,Desktop,GBP,141758,137873,51429,214,454.604620
Next_UK_Zenith,378754,Active,,21,SK,Desktop,GBP,65347,63678,27306,73,76.078265
Next_UK_Zenith,378754,Active,,21,UA,Desktop,GBP,316449,308265,142575,356,196.149995
Next_UK_Zenith,378754,Active,,22,CZ,Desktop,GBP,3087,3049,1503,7,8.060466
Next_UK_Zenith,378754,Active,,22,DE,Desktop,GBP,18094,17377,6018,7,25.128920
Next_UK_Zenith,378754,Active,,22,RO,Desktop,GBP,4814,4680,2287,4,6.033610
Next_UK_Zenith,378754,Active,,23,HK,Desktop,GBP,12197,11824,4562,12,26.577670
Next_UK_Zenith,378754,Active,,23,IE,Desktop,GBP,33309,31476,15921,27,130.001406
Next_UK_Zenith,378754,Active,,3,AU,Desktop,GBP,92693,91129,44118,57,189.279082
Next_UK_Zenith,378754,Active,,3,GB,Desktop,GBP,47059,46334,28442,139,147.303507
Next_UK_Zenith,378754,Active,,3,GB,Smart Phone,GBP,66176,61873,26415,152,110.182921
Next_UK_Zenith,378754,Active,,3,GB,Tablet,GBP,25361,23042,11602,20,64.662665
Next_UK_Zenith,378754,Active,,3,IE,Desktop,GBP,7346,6986,3247,10,26.813192
Next_UK_Zenith,378754,Active,,5,AU,Desktop,GBP,89039,87542,42373,54,171.904787
Next_UK_Zenith,378754,Active,,6,AU,Desktop,GBP,81231,79901,39397,61,195.416717
Next_UK_Zenith,378754,Active,,6,GB,Smart Phone,GBP,301369,281474,105208,391,450.280532
Next_UK_Zenith,378754,Active,,6,IE,Desktop,GBP,10347,9836,4425,12,44.405818
Next_UK_Zenith,378754,Active,,6,TW,Desktop,GBP,6959,6798,2911,5,26.543981
Next_UK_Zenith,378754,Active,,7,HK,Desktop,GBP,65672,63554,28327,48,129.010544
Next_UK_Zenith,378754,Active,,8,GB,Desktop,GBP,426625,418607,255932,323,1582.343866
Next_UK_Zenith,378754,Active,,8,HK,Desktop,GBP,63985,62092,27454,53,126.587161
Next_UK_Zenith,378754,Active,,9,DE,Desktop,GBP,90007,86823,32112,37,175.188012
Next_UK_Zenith,378754,Active,,0,GB,Tablet,GBP,102163,94942,49043,88,269.727699
Next_UK_Zenith,378754,Active,,0,RU,Desktop,GBP,48868,48173,22494,52,61.406963
Next_UK_Zenith,378754,Active,,1,IL,Desktop,GBP,23796,23338,6449,29,85.786481
Next_UK_Zenith,378754,Active,,1,RO,Desktop,GBP,2229,2140,847,6,2.946594
Next_UK_Zenith,378754,Active,,10,AU,Desktop,GBP,67599,66309,30807,51,135.906767
Next_UK_Zenith,378754,Active,,10,GB,Tablet,GBP,183346,167258,83311,141,551.099267
Next_UK_Zenith,378754,Active,,10,IE,Desktop,GBP,115213,110526,55567,63,494.521255
Next_UK_Zenith,378754,Active,,10,TW,Desktop,GBP,4208,4124,1805,3,14.699169
Next_UK_Zenith,378754,Active,,11,CZ,Desktop,GBP,10888,10744,4865,25,32.418157
Next_UK_Zenith,378754,Active,,11,DE,Desktop,GBP,47610,45698,14910,14,70.757498
Next_UK_Zenith,378754,Active,,11,GB,Desktop,GBP,508409,498581,304654,407,1967.704637
Next_UK_Zenith,378754,Active,,11,HK,Desktop,GBP,30941,29763,13394,14,60.813585
Next_UK_Zenith,378754,Active,,11,RO,Desktop,GBP,28614,27834,13361,37,30.382307
Next_UK_Zenith,378754,Active,,12,IL,Desktop,GBP,264222,258155,91704,369,906.302333
Next_UK_Zenith,378754,Active,,12,UA,Desktop,GBP,674531,660879,290758,771,361.947571
Next_UK_Zenith,378754,Active,,13,GB,Desktop,GBP,515459,506499,302288,428,2004.954019
Next_UK_Zenith,378754,Active,,13,HK,Desktop,GBP,43952,42230,19407,21,90.936152
Next_UK_Zenith,378754,Active,,14,AU,Desktop,GBP,15631,15359,7269,11,31.279400
